word,meaning,pronunciation,example
abandon,포기하다,어밴던,He had to abandon his car in the snow.
abate,줄다,어베이트,The storm will abate by evening.
abdicate,퇴위하다,앱디케이트,The king was forced to abdicate the throne.
aberrant,일탈적인,어베런트,His aberrant behavior worried his parents.
abhor,혐오하다,앱호어,She abhors violence in any form.
abide,참다,어바이드,I cannot abide such rudeness.
abject,비참한,앱젝트,They live in abject poverty.
abjure,포기하다,앱주어,He abjured his former beliefs.
ablution,세정,어블루션,He performed his morning ablutions.
abnegate,부인하다,앱니게이트,She abnegated her responsibilities.
abolish,폐지하다,어볼리시,They voted to abolish the death penalty.
abominate,혐오하다,어봄네이트,I abominate such cruelty.
aboriginal,원주민의,어보리지널,The aboriginal people have lived here for centuries.
abortive,실패한,어보티브,The abortive attempt ended in disaster.
abound,풍부하다,어바운드,Opportunities abound in this field.
abridge,요약하다,어브리지,The novel was abridged for young readers.
abrogate,폐지하다,앱로게이트,The government abrogated the treaty.
abscond,도망치다,앱스콘드,The suspect absconded before the trial.
absolute,절대적인,앱솔루트,There is no absolute truth.
absolve,면제하다,앱솔브,The court absolved him of all charges.
absorb,흡수하다,앱소브,Plants absorb carbon dioxide.
abstain,금지하다,앱스테인,He decided to abstain from alcohol.
abstract,추상적인,앱스트랙트,The concept is too abstract for children.
abstruse,난해한,앱스트루스,The professor's lecture was abstruse.
absurd,터무니없는,앱서드,That's an absurd suggestion.
abundant,풍부한,어번던트,The region has abundant natural resources.
abuse,남용하다,어뷰즈,He abused his authority.
abut,인접하다,어벗,Their property abuts the river.
abysmal,심연의,어비즈멀,The conditions were abysmal.
academic,학문의,아카데믹,She has an academic background.
accede,동의하다,악시드,They acceded to our request.
accelerate,가속하다,악셀러레이트,The car began to accelerate.
accentuate,강조하다,악센추에이트,The lighting accentuated her features.
accept,받아들이다,악셉트,Please accept my apology.
access,접근,액세스,You need a password to access the system.
accessory,부속품,악세서리,She bought matching accessories.
acclaim,갈채,어클레임,The play received critical acclaim.
acclimate,순응하다,어클라이밋,It takes time to acclimate to the new environment.
accolade,칭찬,아콜레이드,He received many accolades for his work.
accommodate,수용하다,어커모데이트,The hotel can accommodate 500 guests.
accompany,동반하다,어컴퍼니,She will accompany you to the meeting.
accomplice,공범,어컴플리스,The police arrested his accomplice.
accomplish,성취하다,어컴플리시,We accomplished our goal.
accord,일치,어코드,The decision was in accord with policy.
accost,말을 걸다,어코스트,A stranger accosted her on the street.
account,계정,어카운트,Please create an account to continue.
accrue,누적되다,어크루,Interest will accrue on the loan.
accumulate,축적하다,어큐뮬레이트,He accumulated great wealth.
accurate,정확한,아큐릿,The report was accurate.
accuse,고발하다,어큐즈,They accused him of theft.
acerbic,신랄한,어서빅,Her acerbic comments offended many.
achieve,달성하다,어치브,She achieved her dream.
acknowledge,인정하다,악놀리지,He acknowledged his mistake.
acquaint,알게 하다,어퀸트,I need to acquaint myself with the rules.
acquire,획득하다,어퀴어,The company wants to acquire new technology.
acquit,무죄를 선고하다,어퀴트,The jury acquitted the defendant.
acrid,매운,아크리드,The acrid smoke made us cough.
acrimonious,격렬한,아크리모니어스,The divorce was acrimonious.
acumen,예리함,어큐멘,She has great business acumen.
acute,예리한,어큐트,He has an acute sense of smell.
adamant,단호한,아다먼트,She was adamant about leaving.
adapt,적응하다,어답트,Animals must adapt to survive.
